"label","fitur"
1,"pemakaian masker menyebabkan penyakit legionnaires a caller to a radio talk show recently shared that his wife was hospitalized n told she had covid n only a couple of days left to live a doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long turns out it was legionnaires disease from the moisture n bacteria in her mask she was given antibiotics n within two days was better what if these spikes in covid are really something else due to mask induced infections "
1,"instruksi gubernur jateng tentang penilangan bagi yg tidak bermasker di muka umum rp menggunakan etilang via apps pikobar ythseluruh anggota grup sesuai instruksi gubernur jawa tengah hasil rapat tim gugus tugas covid jateng sbb"
1,"foto jim rohn jokowi adalah presiden terbaik dlm sejarah bangsa indonesia jokowi adalah presiden terbaik dlm sejarah bangsa indonesia jim rohn motivator terbaik dunia"
1,"ini bukan politik tapi kenyataan pak jokowi berhasil memulangkan triliun uang negara dari swiss maaf mas dan mbak ini bukan politik tapi kenyataan pak jokowi berhasil memulangkan triliun uang negara dari swiss ribu triliun siap di bawa balik ke indonesiaruu treaty on mutual legal assistance in criminal matters between the republic of indonesia and the swiss confederation mla riswiss resmi disahkan dpr ri tanggal juli dengan demikian proses konstitusi menarik dana di swiss sudah selesai perjuangan yang panjang menghadapi ex koruptor yang bersenggama dengan agama terimakasih para kadrun yang terus nyinyirian kapan uang triliun kembali ke indonesia tanpa anda nyinyir rasanya sulit ruu itu bisa disahkan oleh dpr pemilik rekening gendut siap siap gigit jari mungkin tekanan ke pak jokowi makin kencang ini baca beritanya"
1,"foto kadrun kalo lihat foto ini panas dingin kadrun kalo lihat foto ini panas dingin "
1,"event promo smartphone jne spesial di bulan juni selamat siang teman teman fb ku semuanya cuman mau memberi informasi dan rezeky gak kemana ya kemarin saya mengikuti event promo smartphone jne spesial di bulan juni ini dan saya mesan smartphone vivo v pro cuman seharga rpgak nyangka cuma seharga rp aku bisa mendapat hp vivo v pro bagi teman teman fb ku yg penasaran atau mau ikutan inbox aja wa adminnya "
1,"mereka sudah mempersiapkan diri dengan baik untuk menguasai negri ini lihatlah mereka sudah mempersiapkan diri dengan baik untuk menguasai negri ini"
1,"foto presiden italia menangis karena tak cukup lahan untuk mengubur an korban corona per hari italia punya fasilitas perawatan kesehatan tercanggih tapi semuanya gagal mengendalikan corona karena awalnya itu hanya dianggap sekadar lelucon dan sekarang presiden mereka menangis karena tak cukup lahan untuk mengubur an korban corona per hari mungkin hari ini sudah lebih dari "
1,"kapolres timor tengah utara nusa tenggara timur beri klarifikasi terkait video polisi diamkan korban kecelakaan polisi goblok bukanya cpet d tolongin malah d liati aja"
1,"video polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki melek tu yg bilang tidak ada penganiayaan dan ham diam seribu bahasa seolah polisi itu berkata liat nanti giliran anda sama orang di sekitarnya biadab"
